;date;text;geo;mentions;hashtags;Unnamed: 5
61;2013-01-01;@applejaxxx_x what about a reverse thong? its like jeans except for my butt crack;;@applejaxxx_x;;
62;2013-01-01;"Whatever. Just wear your dri-fit shirt & jeans . "" @MVPagacz8 : What are we supposed to wear tomorrow?! @Mo__15 @__Veronicaaaa""";;@MVPagacz8 @Mo__15 @__Veronicaaaa;;
63;2013-01-01;You never want to know how much you weigh, You still have to squeeze into your jeans , But you're perfect to me @kristennnsmarie;;@kristennnsmarie;;
64;2013-01-01;I was going to go back to the gym tmrw, but It will probly be crowded. I'll wait til I hafta lay down to zip my jeans .;;;;
65;2013-01-01;Ewes buckle needs to hurry so I can have my comfy jeans back.. #withdrawls #needthem;Kenova, WV;;#withdrawls #needthem;
66;2013-01-01;She came out them true religion jeans fell straight to her knees like she dipped in that holy water. #TheGame fans know. #JesusPiece;;;#TheGame #JesusPiece;
67;2013-01-01;i thought i was gonna dress up tomorrow. lol, forget that. imma wear a hoodie, boots & skinny jeans .;;;;
69;2013-01-01;@amandaa_pannda @madd_dawwgg @moll_doll03 @hannah_wright13 We wearing our miss me jeans tomorrow like we said we were??? #justmakingsure;;@amandaa_pannda @madd_dawwgg @moll_doll03 @hannah_wright13;#justmakingsure;
70;2013-01-01;@HARRY_HIPPIE_ Naw you know she wear the jeans;;@HARRY_HIPPIE_;;
73;2013-01-01;Went from the generation of gangstas to skinny jeans and dancers;;;;
75;2013-01-01;Woohoo! Found $20 in my jeans pocket!! Yes!!!;;;;
77;2013-01-01;Debating whether to wear jeans or sweats tomorrow...?;Olin, IA;;;
78;2013-01-01;Girl dont front whats it gon be....two more shots can get u in my jeans;Eden, NC;;;
80;2013-01-01;“ @AleNiemann : If you don't wear skinny jeans ...bye.”;;@AleNiemann;;
83;2013-01-01;I got my actual first pair of skinny jeans today annd it feels weird but my fucking god this shit is comfortable;;;;
84;2013-01-01;“ @TookieW :Have seen more than a few walk into the House wearing jeans …”important vital info” never know-skinny jeans may cause #butthurt;;@TookieW;#butthurt;
85;2013-01-01;Day after break and all the girls are gonna be wearing new Uggs and $90 jeans .. Converses and new BMTH shirt sound good to me!!;;;;
87;2013-01-01;If you don't wear skinny jeans ...bye.;;;;
89;2013-01-01;@Miss_Ndunda Kindly follow my Christ base fashion company @jeans _africa Co. Thank u;;@Miss_Ndunda @jeans;;
90;2013-01-01;PERSONALLY I DONT THINK ACTION WEAR SELLING LEGIT ASS ROBIN JEANS #SUEME ESPECIALLY IF YOU BOUGHT A PAIR CTFU;;;#SUEME;
94;2013-01-01;All my jeans are dirty. Ugh.;;;;
95;2013-01-01;“ @JoeyFATTS : Never trust hoes who don't wear panties with jeans , that shit nasty. Levi's smellin like a young gold fish.” Asian market pussy;;@JoeyFATTS;;
96;2013-01-01;@Miss_Lipsey Kindly follow my Christ base fashion company @jeans _africa Ltd ,thank u;;@Miss_Lipsey @jeans;;
97;2013-01-01;for shame! #fashioncliff RT @rebeccagberg Have seen more than a few members of Congress walk into the House chamber wearing jeans …;;@rebeccagberg;#fashioncliff;
98;2013-01-01;Blue jeans , white shirt.;;;;
99;2013-01-01;You still have to squeeze into your jeans but you’re perfect to me.;;;;
100;2013-01-01;I would never go to something like Hypnosis..... They would never appreciate my t-shirt jeans and slippers flex....;;;;
102;2013-01-01;Why do you guys leave their jeans /chinos or whatever hanging below their ass.. How is that a good look? :/;;;;
104;2013-01-01;@breyoussef dese jeans doin my head in;;@breyoussef;;
105;2013-01-01;my miss me jeans fit like perfection #firstpair #inlove;;;#firstpair #inlove;
106;2013-01-01;All That Ass In Yo Jeans Can A Nigga Beat Can A Nigga Skeet;;;;
107;2013-01-01;If my mom and I wore the same size jeans I would be freaked out idk;;;;
108;2013-01-01;“@stac_inyourface: When guys wear skinny jeans >>”;;@stac_inyourface;;
109;2013-01-01;J's , holister shirt , holister cardigan , & holister jeans ! Swag only me;;;;
110;2013-01-01;@armenianhbilly usually I wear them in my boots but that pair didn't work! Yeah the jeans with holes!! Lol;;@armenianhbilly;;
112;2013-01-01;@haydnaspinall nope, some people look good wid tatts & some don't lol some things aren't meant for everyone...like a rasta wid skinny jeans;;@haydnaspinall;;
113;2013-01-01;Who buying 200 dollar jeans n ya rent 750 in 2013;;;;
114;2013-01-01;I'm wearing tennis shoes with bell bottom jeans . I am out in public. whoops.;;;;
115;2013-01-01;all i need is some crewnecks, a new pair of vans and new skinny jeans gurl ur going to spend more than $100;;;;
116;2013-01-01;"when Amani was like ""they was joer than joe jeans "" I was laughing so hard ..";;;;
117;2013-01-01;I'm only wearing jeans tomorrow to go with this cute sweater I bought at Delia's;;;;
118;2013-01-01;@JordanDThomas few pairs of gstar jeans;;@JordanDThomas;;
119;2013-01-01;I hate how all my jeans are too short #longlegprobs;;;#longlegprobs;
120;2013-01-01;@StellaKagendo Kindly follow my Christ base fashion company @jeans _africa Ltd;;@StellaKagendo @jeans;;
121;2013-01-01;3 new pairs of jeans that are wicked comfy? 2013 is looking alright.;;;;
122;2013-01-01;@BillyGunn_Vell buy me somethin my a 10 jeans and 9 in shoes and I love gold jewelry;;@BillyGunn_Vell;;
123;2013-01-01;@CheerDancer1999 No! Skinny Jeans Lol They Are Folded;;@CheerDancer1999;;
124;2013-01-01;@MDCCCX fam where did u get the jeans in your avi?;;@MDCCCX;;
125;2013-01-01;When guys wear skinny jeans >>;;;;
128;2013-01-01;No way did I just get a pair of age 14 jeans and they fit O.o;;;;
129;2013-01-01;My 'boyfriend' jeans now definitely just fit as normal jeans . Ugh. #whatever;;;#whatever;
130;2013-01-01;@ashantelj Kindly follow my Christ base fashion company @jeans _africa Ltd;;@ashantelj @jeans;;
131;2013-01-01;@GlamKat90 oh I know! My style is jeans sk8r shoes or uggs with a leather coat and some shirt not what I'm in;;@GlamKat90;;
132;2013-01-01;There's a tiny rip hole in my jeans !!! *LONG GASP as of shock* Oh crap, new design.;;;;
133;2013-01-01;There's no doubt you're forced to wear wet jeans in Hell.;West Carson, CA;;;
135;2013-01-01;Haha just bought cheetah print jeans , fuck y'all I love them;;;;
137;2013-01-01;Nike turtle neck, ripped jeans , combat boots. #thuggin;;;#thuggin;
138;2013-01-01;Leggings or jeans is always the question and leggings is always the answer;;;;
139;2013-01-01;Really wish my new jeans were here so I would have something to wea;;;;
140;2013-01-01;@taylorelyssa21 I will Tuesday I'm wearing jeans tomorrow though;;@taylorelyssa21;;
141;2013-01-01;I found myself face down in the ditch booze in my hair blood on my lip a picture of u holding a picture of me in the pocket of my blue jeans;;;;
142;2013-01-01;Ladies please, if your miss me jeans are baggy... give them away, gain some weight or don't wear them. It's not cute.;;;;
143;2013-01-01;Should I wear jeans or a skirt tomorrow Hmmm;;;;
146;2013-01-01;shawty had dem apple bottom jeans;;;;
147;2013-01-01;I hate these jeans .;;;;
149;2013-01-01;Just bought jeans , 3 shirts & new vans (':;;;;
151;2013-01-01;It's gonna be a depressing moment tomorrow for me and @emileyshuey when we have to put on jeans , and not leggings..;;@emileyshuey;;
152;2013-01-01;Instead of me to buy jeans , I bought books :-/;;;;
153;2013-01-01;Bought 5 pair of jeans this break;;;;
154;2013-01-01;Scandal! RT @rebeccagberg : Have seen more than a few members of Congress walk into the House chamber wearing jeans …;;@rebeccagberg;;
156;2013-01-01;My new jeans are so asdfghjkl;;;;
157;2013-01-01;@Jayy_Uhh_ i'm wearing jeans , a sweater & uggs . lmao;;@Jayy_Uhh_;;
158;2013-01-01;@MartinaSmith64 lol I have a heavy sweat shirt on and jeans and a blanket...& phin is Layin on me and I'm still freezing -_-;;@MartinaSmith64;;
159;2013-01-01;'blue jeans white shirt' ....wait that's homer Simpson, isn't it?;;;;
160;2013-01-01;I'm pumped about my new jeans ......;;;;
161;2013-01-01;my sick had almost never listened to me when it came to it, My eyes peer down @ArtsOfKilling legs, I admired how how her jeans hugged her--;;@ArtsOfKilling;;
162;2013-01-01;I am seriously not looking forward to putting on jeans tomorrow after wearing sweatpants all of break... #goawayschool;;;#goawayschool;
163;2013-01-01;I needs done if those 90s Martin Payne jeans .;;;;
164;2013-01-01;Pink T-shirt, Jeans and UGGZ Tomorrow;;;;
165;2013-01-01;I bought jeans today....but I don't wear jeans . Hmm;;;;
166;2013-01-01;finding money in your jeans pockets from the night before is always a good feeling;;;;
167;2013-01-01;I see the upcoming generation& mostly think, who the HECK is going to fight the Chinese in 15-20 years?! The guy w/Bieber hair&skinny jeans ?;;;;
169;2013-01-01;i know why skinny jeans are in now... cause theyre a lot easier to run in than baggy ones when you tryna dip from the squallae;;;;
170;2013-01-01;“@ItsJust_MariE: Im wearing jeans , tired ov yogas & leggins .” Ewwwwww!;;@ItsJust_MariE;;
172;2013-01-01;“@BriannaRitoli99: how can people wear jeans all the time?” Ikr I hate them they're so uncomfortable!;;@BriannaRitoli99;;
174;2013-01-01;"@dr_cheah absolutely: you've chosen Hatchet Man as ""the one"" and cannot judge anyone since you're the one in JNCO jeans";;@dr_cheah;;
175;2013-01-01;i had a pair of jeans with me for 4 years two of them and they were my favourite but now they are done so i have to get new ones, and im sad;;;;
177;2013-01-01;Sweatpants > jeans;;;;
178;2013-01-01;Sweatpants > jeans ;;;;
179;2013-01-01;I wish that jeans were the same size in every store.;;;;
180;2013-01-01;@FlyhighTre idk wat u was gunna wear jeans ??;;@FlyhighTre;;
181;2013-01-01;I'm watching you two from the closet, dying to be the friction in your jeans;;;;
182;2013-01-01;@wetheamber probably because your neon skinny jeans matched my disgusting sweatpants.;;@wetheamber;;
183;2013-01-01;Just ate a huge tub of Ben and Gerry's while watching a show about dieting and I'm still in my size 6 jeans #pow !;;;#pow;
184;2013-01-01;My Ripped Jeans > > :D;;;;
186;2013-01-01;So basically, I'm only allowed to wear jeans to school.;;;;
187;2013-01-01;Baby lets sell your diamond rings, we'll buy some boots and faded jeans and go away;;;;
188;2013-01-01;Have seen more than a few members of Congress walk into the House chamber wearing jeans …;;;;
189;2013-01-01;"Lol RT"" @Molliwhoppedd : I get mine at tillys. And you've seen how I dress RT“@MeshMetric: Where's a good place to get jeans in the mall?”""";;@Molliwhoppedd @MeshMetric;;
191;2013-01-01;@icheese2 yep...look for me in a black polo shirt and rip jeans;;@icheese2;;
192;2013-01-01;why do boys look so fucking hot in skinny jeans omg mmmmmm;;;;
193;2013-01-01;Beimer Benz or Bentley my jeans are never empty I'm presh I'm fly I'm so damn......;;;;
194;2013-01-01;This girl found herself a new fav pair of jeans ....and I'm going to wear them everyday.... #dontcarewhatcleanpplthink;;;#dontcarewhatcleanpplthink;
195;2013-01-01;a happy day when I can actually fit into size 1 jeans;;;;
196;2013-01-01;Still in my holiday mood and feeling all lazy to wear something presentable. Therefore, hoody, cap and jeans it is.;;;;
197;2013-01-01;Loving the skinny jeans and the skateboards.;;;;
201;2013-01-01;Gap has some of the best jeans .;;;;
202;2013-01-01;@bieber_bagel if you forget your jeans too, they can see your vagina lol.;;@bieber_bagel;;
204;2013-01-01;I just bought $50 hollister jeans for $10. #baller;;;#baller;
205;2013-01-01;A women with no curves is like jeans with no pockets , you dnt know where to put your hands.;;;;
208;2013-01-01;Kindly share and follow my Christ base fashion apparel @jeans _africa Company thank you;;@jeans;;
209;2013-01-01;Jeans , leggings, or yogas? Favorite for jeans , rt for leggings, or reply for yogas.;;;;
210;2013-01-01;Tight jeans don't work when ya pockets stuffed .;;;;
212;2013-01-01;New dress too and jeans #wiiiining;;;#wiiiining;
213;2013-01-01;Summertime Sadness and Carmen and Blue Jeans and Off to the Races and juST EVERY LANA SONG IS MY FAVORITE;;;;
215;2013-01-01;@49ers Who had the bad idea jeans on for this? Is Mason Crosby next on your list? -_-;;@49ers;;
216;2013-01-01;Such a coincidence how all of a sudden you now have the same jeans , belt AND jacket as me.;;;;
218;2013-01-01;googling jeans again cuz it pisses me off;;;;
219;2013-01-01;she wore them apple bottom jeans , jeans , boots with the fhurrr;;;;
222;2013-01-01;@AsToldByNy So they're jeans ? Oh. Mine are leggings.;;@AsToldByNy;;
223;2013-01-01;@isaiahgrant_ lmfao! i think you had on the raptors? :/ and a hoodie, with some dark blue jeans , yes you looked cute. lol you're tall too!;;@isaiahgrant_;;
225;2013-01-01;If the owner of the club you in is wearing Yellow skinny jeans you know its late ey......;;;;
226;2013-01-01;Jeans are my least favourite ever since I got this phone;;;;
227;2013-01-01;My purple jeans were the best investment ive ever made;;;;
228;2013-01-01;@recordstoreday @Mean_ Jeans On Mars;;@recordstoreday @Mean_;;
230;2013-01-01;I've never seen so many runners and jeans in one place #OHGOD;;;#OHGOD;
231;2013-01-01;@soniamenghes looool true I'll just practice on my old jeans & do it on new jeans;;@soniamenghes;;
232;2013-01-01;I finally have purple jeans , asdfghjkl;;;;
233;2013-01-01;I really want Gloria Jeans but I'll settle for Starbucks..;;;;
234;2013-01-01;I want a girl who want to go to the race track with me and looks great in jeans boots and a ball cap.;;;;
235;2013-01-01;@ByrneTheSquid It sounds like you've got one of your balls stuck in the zipper of your jeans , what the hell is going on over there?;;@ByrneTheSquid;;
236;2013-01-01;New jeans , new shirts, new sweater, new i5, and now lets see what else we can get for the new year ! #newyearsamebmf;;;#newyearsamebmf;
237;2013-01-01;When they unbutton your jeans;;;;
238;2013-01-01;Baby rip my jeans not my heart;;;;
239;2013-01-01;Polo shirt , uggs , -& jeans for this party . Nothing special .;;;;
240;2013-01-01;Lmao “ @JoeyFATTS : Never trust hoes who don't wear panties with jeans , that shit nasty. Levi's smellin like a young gold fish.”;;@JoeyFATTS;;
244;2013-01-01;Slacks & button downs during the week... jeans hoodies and sneaks on the weekend;;;;
246;2013-01-01;@baggiesbabe69 @coombemill @borganicskin nope I was chilling out on the sofa in jeans and a t-shirt lol;;@baggiesbabe69 @coombemill @borganicskin;;
247;2013-01-01;“ @LcCampbell7 : Having to alter every pair of pants you own. #shortgirlprobs ” never being able to find long jeans . #tallgirlprobs;;@LcCampbell7;#shortgirlprobs #tallgirlprobs;
248;2013-01-01;@hello_owl were those denim shorts you love from just jeans ? The comfy ones?;;@hello_owl;;
250;2013-01-01;My ass is doing me a favor in these jeans today :-);;;;
251;2013-01-01;@becauseimkekeeh girl trynna dance in some tight as jeans smh . Lol I couldn't do it .;;@becauseimkekeeh;;
253;2013-01-01;Aaron Brice is registered sex offender that wears little jeans;;;;
254;2013-01-01;@yknowsm I regretted wearing shorts but I'm so lazy to wear jeans ! T.T;;@yknowsm;;
256;2013-01-01;in thosssse jeans;;;;
257;2013-01-01; @Jenniferrr18 : When at the odr: laugh at all the plugs that wear jeans .. That's my girl!! #dustersinjeans;;@Jenniferrr18;#dustersinjeans;
258;2013-01-01;@h4nnahwbu_ @_bethkavanagh jeans it is!;;@h4nnahwbu_ @_bethkavanagh;;
259;2013-01-01;“ @JoeyFATTS : Never trust hoes who don't wear panties with jeans , that shit nasty. Levi's smellin like a young gold fish.” lmao;;@JoeyFATTS;;
260;2013-01-01;Imma get your heart racing in my skin tight jeans be a teenage dream tonight #oldsong;;;#oldsong;
264;2013-01-01;Big to the land of quiff's, skinny jeans and bad pints of guinness on Sunday =(;;;;
267;2013-01-01;"My dad said ""You think you sexy,huh?"" I guess I'm sexy with this sweatshirt & jeans on.";;;;
269;2013-01-01;Back in size 5 jeans ! Feeling awesome #gonnalovemybodythisyear;;;#gonnalovemybodythisyear;
270;2013-01-01;Finllay own a pair of white jeans :p;;;;
271;2013-01-01;@TheDolceDiet @LivingZija for the 1st time in 10 yrs ended the year in single digit jeans .lost 40lbs. have the tools to lose it and maintain;;@TheDolceDiet @LivingZija;;
272;2013-01-01;The best feeling is having those jeans that didn't fit you 2 years ago, FIT YOU .;;;;
274;2013-01-01;Leather boots. Tight jeans . Flannel shirt. And beanie. Everyone must have gotten the same present from Santa this year. #Passion2013Attire;;;#Passion2013Attire;
276;2013-01-01;@jenmacd12 sounds yum! if he's got a train give me a Holler :-) I get jeans n hoodies with @fennster0704 Lols xxx;;@jenmacd12 @fennster0704;;
280;2013-01-01;Why I put jeans on I don't know;Kiel, WI;;;
282;2013-01-01;Colored jeans for 16 dollars. SOLD! #target;;;#target;
283;2013-01-01;Finally found sum jeans i like today;;;;
284;2013-01-01;I Want Some White Jeans;;;;
286;2013-01-01;I think my new jeans r joe jeans ..love em;;;;
287;2013-01-01;Lol i new it was a reason y these jeans still had the tag on them & i never put them on they to tight;;;;
288;2013-01-01;@the_real_bear39 like your new avi, hope you're not wearing jeans with all that denial tho! Haha;;@the_real_bear39;;
289;2013-01-01;My Superman in jeans with a mustache.;;;;
290;2013-01-01;Dirt on my jeans , dirt on my boots, dirt in my hair #ShowerTime;;;#ShowerTime;
291;2013-01-01;Yeah me and my aunts obviously weren't planning on skiing today. Explains why we wore jeans .;;;;
293;2013-01-01;@_TheMissphit @twerk_aholiccc you is run out, you had on some snow boots, trench coat, tight jeans , a nice shrit with a scarf!!!!!;;@_TheMissphit @twerk_aholiccc;;
294;2013-01-01;All that ass in them jeans .;;;;
295;2013-01-01;sweats or jeans ..;;;;
296;2013-01-01;My jeans stuffed wit str8 cash!;;;;
297;2013-01-01;And why in TF do I have a cricket phone in my jeans ?? ...ion kno who phone I picked up! Lol;;;;
298;2013-01-01;I made it thru the night without staining @BrittanyAnn1021 's white jeans <3 #missioncomplete;;@BrittanyAnn1021;#missioncomplete;
301;2013-01-01;You still love to squeeze into your jeans , but you're perfect to me.;;;;
302;2013-01-01;Tell me is there anymore room for me, in those jeans ?;;;;
303;2013-01-01;Sometimes, chillin in a band tee jeans and vans is the way to go #simple;;;#simple;
307;2013-01-01;I am not ready to wear jeans all day.;;;;
310;2013-01-01;Tampón > RT @aldmru : HILOS T > RT @rrobb_ : Pantaletas > RT @carlawohoo : Shorts > leggins > falda > jeans .;;@aldmru @rrobb_ @carlawohoo;;
311;2013-01-01;yeesss! :D my skinny jeans still fits perfectly..hahaha! :)) off to school now :);;;;
312;2013-01-01;Men who does still wear coloured pencil jeans #NotDisFckingNewYear;;;#NotDisFckingNewYear;
313;2013-01-01;An I the only one that thinks there should have been mail today? I just want my jeans . Fuuuck AE if they don't fit.;;;;
316;2013-01-01;@shannon_murtha yes even my jeans had mud spots !!! Peoples shoes I guess had the ability to spit mud or something to get my jeans dirty to.;;@shannon_murtha;;
317;2013-01-01;my ass in these jeans >>>;;;;
318;2013-01-01;I got on some tight ass jeans & some J's .. not comfortable at all smh;;;;
320;2013-01-01;And I love it wen ya jeans show ya panties;;;;
321;2013-01-01;bitches get they first pair of designer jeans , and scream they having bands. #disqualufied ,;;;#disqualufied;
325;2013-01-01;That moment of pure happiness when you buy a new pair of Hollister jeans (:;;;;
326;2013-01-01;@m_lizzy what I'm wearing: t-shirt. White. Jeans with belt. Wigwam MEC socks. #Stylin Lol.;;@m_lizzy;#Stylin;
328;2013-01-01;I haven't wore jeans since I got out for break. Tomorrow is going to suck;;;;
330;2013-01-01;Just fucking witcha. I'm wearing jeans .;;;;
331;2013-01-01;Got new skinny jeans . I like the way my ass looks in em.;;;;
332;2013-01-01;@xmrsjonas Smita try make me do jeans today -____- i was like to be honest i have diarrhoea and she was like ewwww stay on tills;;@xmrsjonas;;
333;2013-01-01;@armenianhbilly those jeans we're so long I and to cut them!! I'm not that tall!! Hahs;;@armenianhbilly;;
334;2013-01-01;im like dying after my 1st hour of wearing jeans .;;;;
335;2013-01-01;I think I may have forgotten how to put on jeans #lazytweet;;;#lazytweet;
336;2013-01-01;It is my life goal to purchase the perfect raw jeans from The Curatory in Raleigh, NC.;;;;
337;2013-01-01;Had a great night and day (: time to get outta these jeans and throw on some sweats (: #comfy #happy;;;#comfy #happy;
338;2013-01-01;how can people wear jeans all the time?;;;;
339;2013-01-01;@Mark_JekyllHyde they are worshipping iPhones, wearing skinny jeans , & marrying each other;;@Mark_JekyllHyde;;
340;2013-01-01;Celana Jeans Nudie, PSD, CheapMonday, Levis's, Wrangler, Logo dll. Only 140rb, Pin:22053EB0 / 087870383385 welcome reseller :) - olshopbog;;;;
341;2013-01-01;@FJB_Bekasi Celana Jeans Nudie, PSD, CheapMonday, Levis's, Wrangler, Logo dll. Only 140rb, Pin:22053EB0 / 087870383385 welcome reseller :);;@FJB_Bekasi;;
343;2013-01-01;@Jubair_Islam nothing wrong with skinny jeans :L;;@Jubair_Islam;;
344;2013-01-01;@Kstar78 Haha - no, no, it wasn't mine, I was just implying I liked the look of the jeans and swiped the load for myself #inunitlaundry;;@Kstar78;#inunitlaundry;
345;2013-01-01;I'd rather a country boy in a big truck, ripped jeans , boots, tshirt, warn out baseball hat, five o'clock shadow and a nice set of teeth.;;;;
346;2013-01-01;My jeans starting not to fit -_-;;;;
348;2013-01-01;that's worse than ripped jeans RT @AliciaTaylorM: Got a shirt from Topshop that purposely has pillies on it... I like this;;@AliciaTaylorM;;
349;2013-01-01; @OverlyManlyMann : Skinny Jeans ? You mean those things women and gays like? @bstans69;;@OverlyManlyMann @bstans69;;
350;2013-01-01;@elayants mister how much are your guy skinny jeans ? And do you have any 30x32?;Norwalk, CA;@elayants;;
351;2013-01-01;I wish I had a chain on my jeans;;;;
352;2013-01-01;andrea has called every single one of her family members to tell them about her seven dollar jeans @goodwin2622;;@goodwin2622;;
354;2013-01-01;I never wanna be stuck in mom jeans when I become a mother.;;;;
355;2013-01-01;im sitting in my jeans and nice sweater waaaaaaay to lazzy to move to get up and change #LazyProblems;;;#LazyProblems;
356;2013-01-01;And we make jeans out of sweatpants! #pajamajeans;;;#pajamajeans;
358;2013-01-01;@KING_vii WORDDDDD. I cannot go ONE MORE SIZE IN JEANS TOO. Nope nope.. Idc wat ppl say.. Im good the way I am Diamond transferred;;@KING_vii;;
359;2013-01-01;Natalie just got the cutest jeans in the world and I'm really mad cause she's a 00 -______-;;;;
360;2013-01-01;@farah_jazz even more gay lool so instead of wearing jeans and looking good, People would wear a cheap pajamas that look like jeans ? Ghetto!;;@farah_jazz;;
361;2013-01-01;Might buy some shoes & some jeans . Oh & get my ears piereced.;;;;
362;2013-01-01;Bought new beats, can't get my stoney jumper jeans and hat;;;;
365;2013-01-01;!! RT @JoeyFATTS : Never trust hoes who don't wear panties with jeans , that shit nasty. Levi's smellin like a young gold fish.;;@JoeyFATTS;;
366;2013-01-01;First day of 2013: I'm wearing my skinny jeans , and I haven't had a cigarette in 5 months. #2012resolutionsweresuccessful;;;#2012resolutionsweresuccessful;
367;2013-01-01;Not everybody owns a gun, wears a ball cap boots and jeans;;;;
368;2013-01-01;head, rolls neck with a crack, closes eyes, grits teeth and puts it in the back of my jeans . Slits eyes open halfway and gives him the;;;;
369;2013-01-01;How to put on Jeans : 1. Grab belt loops 2. Jump around like a bunny 3. Twerk for a few minutes 4. Lunge left 5. Lunge right;;;;
370;2013-01-01;Cause i need some new jeans;;;;
372;2013-01-01;Harry styles jeans are so tight, taylor swift can't get in them' my sister. She's only 8 hahahahaahahahha;;;;
373;2013-01-01;@BenSavageFFC @sophiajeary there feet were on my jeans getting them all glittery and sophia kicked me in face before :/;;@BenSavageFFC @sophiajeary;;
375;2013-01-01;I love that I lost weight but I wish I had jeans that fit appropriately;;;;
377;2013-01-01;We Designed Our Jeans Yesterday lls .;;;;
378;2013-01-01;Whenever I go on my profile the picture of my sick on my jeans comes up on the left and I proper belly laugh :');;;;
380;2013-01-01;@ForeignJeans where y'all jeans at;;@ForeignJeans;;
384;2013-01-01;I swear, white people NEVER get cold . They go outside in fleece sweaters & ripped jeans ;;;;
385;2013-01-01;@LadyJeef lol depends on what the item is, I prefer Armani Jeans but that's another Armani label;;@LadyJeef;;
386;2013-01-01;i used to only wear t-shirts / plain shirts & jeans . i am changing . smh .;;;;
387;2013-01-01;Why is it every single pair of flair jeans I but always SHRINK #fuck;;;#fuck;
388;2013-01-01;RT @JoeyFATTS : Never trust hoes who don't wear panties with jeans , that shit nasty. Levi's smellin like a young gold fish.;;@JoeyFATTS;;
